result,number_of_fixations
16.83434273652954,9
16.840004804405098,10
16.84879644217602,11
16.859329857796407,12
16.86642914503717,11
16.881841238257437,10
16.892559815611623,10
16.930168428799515,10
16.932107009913885,9
16.939934522936955,10
16.94204682916646,11
16.947406639220873,11
16.96174387888547,10
16.962160222821456,10
16.963696488354678,9
16.979731678436607,9
17.020924667593473,8
17.04926170282532,8
17.051544902842686,9
17.05549766689365,8
17.056523445038575,7
17.056618514496922,7
17.07875227668957,6
17.118785392461657,6
17.13133907113594,6
17.135519937631003,6
17.162124030602584,6
17.170741040333116,5
17.203828381927174,5
17.209963625492463,5
17.245284366445187,6
17.276625498139936,6
17.303611931951053,6
17.307984033874533,7
17.334662308115373,7
17.36906603015782,7
17.428685293826078,6
17.484370034395592,6
17.520541809863783,5
17.546833364926385,5
17.565455628675124,5
17.56691940148824,5
17.685608113475176,4
18.153147762994383,3
18.245308931206452,4
18.267429006159592,3
18.444367988151242,4
18.85032953732735,3
18.932106519963856,3
18.943292908457188,3
19.07734467728449,4
19.13060359855603,4
19.13106627026397,4
19.189270659447423,3
19.23578330894229,4
19.286826249831915,4
19.325683502713222,3
19.350942609807696,4
19.77107010491013,3
19.847883029334756,4
19.85917882739653,5
19.86630931658707,6
19.887873689816754,6
19.900157032166792,6
19.914052857435053,6
19.925889765023104,6
19.929020127285458,6
19.952887689845458,6
19.997032344192878,6
20.03130213605076,5
20.03990239676677,5
20.048323779750408,4
20.072908935489075,5
20.096897068395492,6
20.108089950373316,6
20.18139823324265,5
20.18367014022165,5
20.202473824898046,5
20.222369750041253,5
20.22677099754748,6
20.238934862815604,5
20.239693259503294,5
20.25544730706252,5
20.29167329389469,5
20.341704088561766,4
20.363052896482174,4
20.39688312886321,5
20.422070290702305,6
20.42298277914842,5
20.584842235413767,4
20.645556243780305,4
20.679540295513277,4
20.70410934293918,3
20.781884793786496,3
20.915526963070178,3
21.11727673137565,3
21.327845972537087,3
21.524426549436992,3
21.545955540126442,3
29.860951181131494,2
30.418894925029637,2
32.746151245749175,2
32.798194372008155,2
33.550442828562105,2
33.717131028338954,3
33.7310202949895,3
33.73685750857306,3
34.245000886465164,2
34.92746726399301,2
35.06978292196605,3
35.15136119321876,2
36.080744377648436,2
39.952443633153294,2
42.89386770547376,2
46.72283447550275,2
47.568547654329635,2
47.71306992182624,3
47.893756144607295,3
48.262157959963766,2
48.97113517368205,2
49.0952786024781,2
49.1032250878892,3
49.13883257302685,2
49.642384056481,2
49.75785498156805,3
51.68533329356786,2
51.71316532275314,3
64.42045288875119,2
64.42922543590845,3
66.26915941136748,2
66.52858587373542,2
67.84219191021174,2
67.95180447139766,2
67.9882309023166,3
68.06644906110115,2
68.31193151961016,2
68.47490557162907,2
68.57657580628097,3
68.67732481497258,3
68.73090309914826,3
68.73984397711008,2
69.5404135982481,2
69.65305713600912,2
70.23276679600735,2
70.42983448949617,2
70.8376784917995,2
71.13065910667191,2
71.34820543961756,3
71.3570870458815,3
71.37702035287225,3
71.72957250737734,2
71.73924608556689,3
71.85553783778717,2
71.88313799040093,3
72.32481687419521,2
72.57433217711828,3
72.59171960907075,3
72.71739251605311,3
73.28205446801553,2
73.41660056583959,2
73.43548004861756,3
73.59799217022359,2
73.67431971458153,2
73.82517731827296,2
73.89857297089256,2
73.94357508040451,3
74.11744494839766,2
74.32141898100113,2
74.92361896960426,2
75.20998912728035,2
75.3094617346417,2
75.33549646109515,2
75.4723259753214,2
75.60918625288039,2
